dia,dia_padded,data,data_ddmm,passagem,tema,contexto,leitura_texto,sintese_teologica,questao_estudo
30,30,"set. 24, 2026",24/09,Jeremias 49–52,O fim de Judá e a queda dos impérios,"Jeremias encerra seus oráculos contra as nações antes de retornar, no capítulo final, à queda de Jerusalém. O livro termina mantendo lado a lado o juízo sobre Judá e a limitação do poder babilônico.","Jeremias 49 anuncia juízo sobre vários povos, incluindo Amom, Edom, Damasco e Elão. Os capítulos 50 e 51 concentram-se na Babilônia, o instrumento que Deus usou contra Judá, mas que não fica isento de julgamento por sua violência e arrogância. A queda da Babilônia é associada à futura restauração de Israel e Judá. O capítulo 52 retoma a destruição de Jerusalém, o exílio e a perda dos utensílios do templo. O breve relato final sobre Joaquim, porém, introduz uma pequena abertura de esperança dentro da casa real de Davi.",Deus pode usar impérios em seu juízo sem conceder a eles soberania absoluta nem permitir que sua promessa ao povo desapareça.,Como o juízo sobre Babilônia nos capítulos 50–51 modifica a leitura da queda de Jerusalém retomada no capítulo 52?
31,31,"set. 25, 2026",25/09,Lamentações 1–3,"Dor, confissão e esperança no meio da ruína","Lamentações responde poeticamente à queda de Jerusalém. A cidade destruída não é tratada apenas como evento político, mas como catástrofe teológica e humana que precisa ser lamentada diante de Deus.","Os capítulos 1 e 2 personificam Jerusalém como mulher enlutada e descrevem a devastação como consequência do pecado, sem minimizar a violência sofrida. O lamento reconhece a justiça do juízo e, ao mesmo tempo, leva a dor ao próprio Senhor. No capítulo 3, uma voz individual assume o sofrimento de modo intenso, mas a memória da misericórdia e da fidelidade de Deus interrompe o movimento de desespero. Essa esperança não apaga a aflição nem afirma que a crise terminou. Ela nasce daquilo que o poeta sabe sobre o caráter de Deus enquanto continua esperando e examinando seus caminhos.","A esperança de Lamentações não nega o juízo nem a dor, mas se sustenta na fidelidade de Deus em meio a uma situação ainda não resolvida.",Como Lamentações 1–3 constrói esperança sem enfraquecer a responsabilidade de Jerusalém nem a gravidade de seu sofrimento?
32,32,"set. 26, 2026",26/09,Lamentações 4–5,Memória da queda e súplica por restauração,"Os capítulos finais retomam a devastação de Jerusalém e conduzem o livro para uma oração coletiva. O lamento não termina com uma restauração já realizada, mas com a comunidade ainda dependente da intervenção de Deus.","Lamentações 4 contrasta a antiga dignidade de Jerusalém com a condição produzida pelo cerco e pela queda. A responsabilidade de líderes e profetas é lembrada, assim como a falsa expectativa de ajuda externa. O capítulo 5 transforma a memória da catástrofe em súplica: terra, casas, segurança e dignidade foram perdidas, e o povo pede que Deus veja sua condição. A afirmação de que o Senhor permanece para sempre fornece o fundamento para pedir renovação, mas o livro encerra preservando uma tensão real. A comunidade não controla o tempo nem a forma da restauração.",A oração final reconhece que somente o Deus que permanece pode restaurar um povo que perdeu aquilo em que se apoiava.,"Que efeito teológico produz o fato de Lamentações terminar com uma súplica aberta, e não com a descrição da restauração já cumprida?"
33,33,"set. 27, 2026",27/09,Ezequiel 1–4,A glória de Deus e o chamado do profeta,"Ezequiel recebe sua vocação entre os exilados na Babilônia. Antes de explicar a queda de Jerusalém, ele é confrontado com uma visão da glória do Senhor fora da terra e do templo.","A visão do capítulo 1 combina movimento, majestade e transcendência, mostrando que a presença divina não está confinada a Jerusalém. No capítulo 2, Ezequiel é enviado a uma casa rebelde e recebe um rolo que deve comer, imagem de uma palavra que precisa tornar-se parte de sua própria missão antes de ser proclamada. O capítulo 3 reforça sua responsabilidade como sentinela. Em Ezequiel 4, ações simbólicas representam o cerco, a culpa e a escassez que alcançarão Jerusalém. A ordem é importante: o juízo que será anunciado procede do Deus cuja glória continua soberana mesmo no exílio.",A missão profética de Ezequiel nasce da visão de um Deus cuja presença e autoridade não foram derrotadas pela crise nacional.,Por que a visão da glória em Ezequiel 1 é necessária para interpretar corretamente as ações de juízo apresentadas nos capítulos seguintes?
34,34,"set. 28, 2026",28/09,Ezequiel 5–8,Jerusalém julgada e o templo profanado,"As ações simbólicas do início do livro passam a ser explicadas com maior clareza. Jerusalém, que se considera centro privilegiado, é acusada de ter respondido à eleição de Deus com rebelião ainda mais grave.","Ezequiel 5 interpreta o cerco como juízo sobre uma cidade que rejeitou os estatutos do Senhor. Os capítulos 6 e 7 anunciam o fim dos santuários idólatras e desmontam a confiança em riqueza e posição. No capítulo 8, o profeta é transportado em visão ao templo e vê diferentes formas de idolatria praticadas em seu interior. A progressão das cenas mostra que a profanação não está apenas nas periferias da vida nacional. Ela alcançou o espaço associado de modo mais direto à presença de Deus. Por isso, a queda de Jerusalém não pode ser explicada apenas pelo poder da Babilônia.",O juízo sobre Jerusalém responde a uma corrupção que alcançou inclusive o lugar destinado ao culto e à presença do Senhor.,Como a visão do templo em Ezequiel 8 redefine a causa da crise nacional apresentada nos capítulos 5–7?
35,35,"set. 29, 2026",29/09,Ezequiel 9–12,A glória se retira de Jerusalém,"A visão iniciada no templo avança até um dos momentos mais graves do livro: a retirada progressiva da glória do Senhor. Ao mesmo tempo, Ezequiel representa o destino dos habitantes de Jerusalém e dos exilados.","No capítulo 9, o juízo começa no santuário, embora os que lamentam as abominações sejam distinguidos. Ezequiel 10 retoma os seres da visão inicial e descreve a glória movendo-se para fora do templo. No capítulo 11, a falsa segurança dos líderes é confrontada e, em meio ao anúncio de dispersão, surge a promessa de que Deus será santuário para os exilados e lhes dará um coração diferente. O capítulo 12 usa a bagagem de exílio e outras ações simbólicas para declarar que a palavra anunciada não será adiada indefinidamente.","A presença de Deus não pode ser manipulada pelo templo, e sua retirada de Jerusalém não significa abandono de seu povo no exílio.",Como Ezequiel 9–12 relaciona a saída da glória do templo com a promessa de presença e renovação entre os exilados?
36,36,"set. 30, 2026",30/09,Ezequiel 13–16,Mentira religiosa e infidelidade de Jerusalém,"Ezequiel confronta interpretações religiosas que impedem o povo de compreender a própria condição. Falsos profetas, líderes idólatras e imagens da história de Jerusalém revelam a profundidade do problema.","O capítulo 13 denuncia profetas que cobrem uma parede frágil com aparência de estabilidade, proclamando paz sem fundamento. Em Ezequiel 14, os anciãos carregam ídolos no coração, mostrando que a consulta religiosa pode coexistir com lealdades rivais. O capítulo 15 compara Jerusalém a madeira de videira inútil fora de sua finalidade. A longa alegoria do capítulo 16 descreve Jerusalém como alguém acolhida e adornada por Deus que transforma seus dons em instrumentos de infidelidade. A linguagem é deliberadamente dura porque o pecado é interpretado como traição de uma relação sustentada pela graça divina.",A falsa segurança religiosa esconde uma infidelidade que consiste em usar os dons de Deus contra o próprio relacionamento que lhes deu sentido.,"Como as imagens de Ezequiel 13–16 convergem para denunciar não apenas práticas erradas, mas uma percepção falsa da relação de Jerusalém com Deus?"
37,37,"out. 1, 2026",01/10,Ezequiel 17–20,Responsabilidade e memória da rebelião,A geração do exílio precisa interpretar corretamente tanto sua responsabilidade quanto a história recebida de seus antepassados. Ezequiel combate explicações simplistas que permitiriam ao povo transferir inteiramente a culpa.,"A parábola das águias no capítulo 17 interpreta a quebra de compromisso político de Zedequias e termina com a promessa de que o próprio Deus plantará um renovo. Ezequiel 18 rejeita o uso fatalista do provérbio sobre pais e filhos: cada pessoa responde por seus caminhos, e o chamado ao arrependimento permanece aberto. No capítulo 19, a lamentação sobre os príncipes descreve a ruína da liderança. Ezequiel 20 revisita a história desde o Egito e mostra uma sucessão de rebeliões, acompanhada repetidamente pela preservação do nome e do propósito de Deus.","A responsabilidade presente não pode ser anulada pela história herdada, embora a fidelidade de Deus continue atravessando uma história marcada por rebelião.",Como Ezequiel 18 e 20 mantêm juntas responsabilidade individual e continuidade histórica da infidelidade de Israel?
38,38,"out. 2, 2026",02/10,Ezequiel 21–24,A chegada inevitável do juízo,A aproximação da queda de Jerusalém domina esta seção. As imagens tornam-se mais diretas e culminam no anúncio de que o cerco começou efetivamente.,"Ezequiel 21 apresenta a espada do juízo e descreve o rei da Babilônia decidindo sua rota até Jerusalém. O capítulo 22 reúne acusações contra governantes, sacerdotes, profetas e povo, mostrando uma corrupção que atravessa toda a estrutura social. No capítulo 23, a alegoria de duas irmãs retrata Samaria e Jerusalém em suas alianças e idolatrias. Ezequiel 24 data o início do cerco e utiliza a panela enferrujada como imagem de uma cidade cuja impureza não foi removida. A morte da esposa do profeta torna-se ainda um sinal doloroso da perda do santuário.",O juízo deixa de ser uma ameaça distante porque a persistência da corrupção conduziu Jerusalém ao momento anunciado durante todo o ministério inicial de Ezequiel.,De que modo a acumulação de imagens em Ezequiel 21–24 comunica que o juízo já não deve ser interpretado como possibilidade remota?
39,39,"out. 3, 2026",03/10,Ezequiel 25–28,As nações e a arrogância de Tiro,"Depois do anúncio do cerco, a palavra de Ezequiel volta-se às nações ao redor. A queda de Jerusalém não autoriza seus vizinhos a interpretar o acontecimento como prova de sua própria superioridade.","Amom, Moabe, Edom e Filístia são julgados por hostilidade, desprezo ou vingança contra Judá. A atenção então se concentra em Tiro, cuja riqueza e posição comercial produziram confiança excepcional. Os capítulos 26 e 27 descrevem tanto a queda da cidade quanto a amplitude de suas relações econômicas. Em Ezequiel 28, o governante de Tiro é retratado como alguém cujo coração se elevou por causa de sua sabedoria e prosperidade, chegando a reivindicar posição divina. O oráculo contra Sidom termina com uma breve promessa de futura reunião de Israel.","A prosperidade das nações não as coloca fora do juízo de Deus, especialmente quando poder e riqueza são convertidos em pretensão de autonomia.",Como a descrição econômica de Tiro em Ezequiel 26–28 contribui para a crítica teológica à arrogância de seu governante?
40,40,"out. 4, 2026",04/10,Ezequiel 29–32,O Egito e a fragilidade das grandes potências,"Quatro capítulos concentram vários oráculos contra o Egito, potência antiga em que Judá repetidamente procurou apoio. A seção desmonta a imagem de estabilidade que o Egito representava.","Faraó é comparado a um grande monstro do Nilo que reivindica o rio como criação própria. O Senhor anuncia que o retirará das águas e humilhará sua pretensão. O Egito também é descrito como apoio frágil para Israel, uma cana que se quebra quando alguém se apoia nela. Os capítulos seguintes desenvolvem a queda do poder egípcio por meio de imagens de árvore elevada, descida ao mundo dos mortos e lamento sobre Faraó. A linguagem reúne Egito a outras nações anteriormente poderosas que terminaram submetidas ao mesmo destino.","O Egito não pode oferecer segurança última porque sua força, como a de todos os impérios, permanece limitada pelo governo de Deus.",Como as diferentes metáforas de Ezequiel 29–32 desmontam a função do Egito como símbolo de segurança política para Israel?
41,41,05/10,05/10,Ezequiel 33–36,"Sentinela, Pastor e novo coração","Com a queda de Jerusalém confirmada, o livro entra em uma nova fase. A função de Ezequiel como sentinela é retomada e o anúncio passa a concentrar-se mais claramente na futura restauração.","Ezequiel 33 reafirma a responsabilidade de ouvir e responder à advertência. No capítulo 34, os pastores de Israel são acusados de alimentar a si mesmos em vez do rebanho, e o próprio Senhor promete buscar suas ovelhas e estabelecer sobre elas um pastor davídico. Ezequiel 35 julga Edom por sua hostilidade, enquanto o capítulo 36 promete restauração da terra e, sobretudo, transformação do povo. Deus age por causa de seu santo nome, purifica Israel, dá novo coração e novo espírito e coloca seu Espírito neles para que vivam segundo sua vontade. A restauração não é mero retorno geográfico.",Deus restaura seu povo assumindo o papel de verdadeiro Pastor e realizando uma renovação interior que responde ao fracasso da antiga infidelidade.,"Como Ezequiel 33–36 relaciona a falência dos pastores de Israel à promessa de novo coração, novo espírito e ação do próprio Deus?"
42,42,06/10,06/10,Ezequiel 37–40,Da morte à presença restaurada,"A promessa de novo coração é seguida por visões que tratam da própria existência nacional de Israel. O povo se descreve como sem esperança, e Ezequiel responde com imagens de ressurreição, reunificação e futuro santuário.","No vale de ossos secos, a palavra e o sopro de Deus transformam morte em vida, imagem interpretada como restauração da casa de Israel. Os dois pedaços de madeira simbolizam a reunificação de Judá e Israel sob um único rei davídico. Nos capítulos 38 e 39, Gog representa a ameaça final de poderes hostis, derrotados pela intervenção divina para que as nações conheçam o Senhor. Ezequiel 40 inicia uma longa visão de um novo complexo do templo, cuidadosamente medido. O movimento da seção vai da incapacidade absoluta do povo para a iniciativa soberana de Deus em recriar, reunir, proteger e habitar novamente.","A restauração depende do poder de Deus para dar vida, reunir o povo e estabelecer novamente sua presença no centro da comunidade.","Que progressão pode ser observada entre os ossos secos, a reunificação das tribos, a derrota de Gog e o início da visão do templo?"
43,43,07/10,07/10,Ezequiel 41–44,O retorno da glória,"A visão do templo continua com descrição detalhada de espaços, medidas e funções. Seu ponto teológico mais importante ocorre quando a glória que havia deixado Jerusalém retorna ao novo santuário.","Os capítulos 41 e 42 descrevem o edifício e áreas ao redor, enfatizando ordem e separação entre o santo e o comum. Ezequiel 43 retoma deliberadamente a linguagem das visões anteriores: a glória do Senhor vem do oriente e enche o templo. A presença que abandonou a cidade nos capítulos 10 e 11 agora retorna. O altar é consagrado, e o capítulo 44 estabelece regras para o acesso e para o serviço sacerdotal, incluindo distinções decorrentes da infidelidade passada. A restauração não significa retorno indiferenciado ao que existia antes. A santidade da presença divina reorganiza a vida do povo.","O centro da restauração de Ezequiel é o retorno da glória de Deus, que exige uma comunidade novamente ordenada pela santidade.",Como o retorno da glória em Ezequiel 43 deve ser lido à luz de sua retirada nos capítulos 10–11 e das regras de santidade do capítulo 44?
44,44,08/10,08/10,Ezequiel 45–48,"Terra restaurada, rio de vida e presença","Os capítulos finais completam a visão iniciada no capítulo 40. Terra, culto, liderança e cidade são reorganizados em torno da presença do Senhor.","Ezequiel 45 e 46 distribuem responsabilidades ao príncipe e regulam ofertas e festas, limitando abusos de poder que marcaram a história anterior. No capítulo 47, água sai do templo e cresce até se tornar rio profundo, levando vida a regiões antes estéreis e fazendo florescer árvores cujas folhas servem para cura. A terra é repartida novamente, com espaço também para estrangeiros residentes. O capítulo 48 organiza as tribos em torno do santuário e encerra o livro dando à cidade um nome novo: “O Senhor está ali”. A visão final concentra todo o percurso do livro na recuperação da presença divina.","A restauração alcança seu objetivo quando terra, povo, culto e vida são reorganizados ao redor da presença vivificadora do Senhor.",Por que o nome final da cidade em Ezequiel 48 funciona como síntese adequada para todo o movimento do livro?
45,45,09/10,09/10,Daniel 1–4,Fidelidade no exílio e soberania sobre os reis,"Daniel começa entre judeus levados para a Babilônia e inseridos na administração imperial. O conflito não é apenas sobreviver ao exílio, mas permanecer fiel sem negar que Deus continua governando dentro de uma ordem dominada por potências estrangeiras.","Daniel e seus companheiros recebem nomes, educação e funções babilônicas, mas estabelecem limites quando a assimilação compromete sua fidelidade. Nos capítulos 2 e 4, sonhos de Nabucodonosor revelam que reinos humanos são temporários e estão submetidos ao Deus do céu. O capítulo 3 mostra Sadraque, Mesaque e Abede-Nego recusando adoração à imagem imperial, mesmo sem garantia de livramento. A humilhação de Nabucodonosor no capítulo 4 torna explícito o tema recorrente: o Altíssimo pode elevar e abater governantes. A fidelidade no exílio se sustenta numa visão correta da soberania.",A fidelidade de Israel em terra estrangeira é possível porque o domínio dos impérios permanece subordinado ao governo do Deus Altíssimo.,Como Daniel 1–4 relaciona práticas concretas de fidelidade dos exilados à afirmação de que Deus governa sobre reis e impérios?
46,46,10/10,10/10,Daniel 5–8,Impérios pesados e julgados,"A narrativa passa da Babilônia para a Pérsia e, em seguida, para visões que ampliam o horizonte histórico. A sucessão de impérios reforça que nenhum poder possui permanência própria.","Daniel 5 mostra Belsazar usando os utensílios do templo numa celebração marcada por arrogância. A escrita na parede anuncia que seu reino foi pesado e chegou ao fim. No capítulo 6, Daniel permanece fiel em oração apesar de uma lei imperial e é preservado da cova dos leões. Os capítulos 7 e 8 mudam para linguagem visionária: bestas, chifres e conflitos representam poderes violentos que surgem e desaparecem diante do tribunal de Deus. Em Daniel 7, o domínio final é associado ao “filho do homem” e aos santos do Altíssimo, contrastando com os reinos animalescos.","Os impérios podem parecer absolutos no presente, mas são avaliados, limitados e substituídos dentro do governo de Deus.",Como a mudança das narrativas dos capítulos 5–6 para as visões de 7–8 amplia a crítica de Daniel ao caráter e à duração do poder imperial?
47,47,11/10,11/10,Daniel 9–12,"Confissão, conflito e esperança além da morte","A parte final do livro combina oração, interpretação profética e visões sobre períodos de intensa opressão. Daniel não responde ao conhecimento do futuro com especulação distante, mas com confissão e perseverança.","No capítulo 9, Daniel lê Jeremias, reconhece o pecado coletivo e apela à misericórdia de Deus. A resposta sobre as semanas amplia a questão do tempo da restauração. Os capítulos 10 e 11 apresentam conflito entre reinos terrestres dentro de uma realidade espiritual mais ampla e descrevem a ascensão de um governante que profana e persegue. Daniel 12 leva a esperança além da sobrevivência nacional ao anunciar ressurreição, juízo e vindicação. Nem todos os detalhes são entregues ao profeta, que é chamado a seguir seu caminho até o fim. O livro termina com esperança sem eliminar o mistério.","A esperança de Daniel repousa na soberania de Deus sobre o tempo, na vindicação de seus fiéis e, finalmente, na ressurreição.",Como Daniel 9–12 desloca a expectativa de restauração de uma simples mudança política para uma esperança que inclui juízo e ressurreição?
48,48,12/10,12/10,Oseias 1–4,A aliança ferida pela infidelidade,Oseias profetiza ao reino do Norte e utiliza seu próprio casamento e os nomes de seus filhos como sinais da relação entre o Senhor e Israel. O pecado é apresentado principalmente como infidelidade de aliança.,"Os capítulos 1 e 2 transformam a família do profeta em linguagem profética: os nomes dos filhos anunciam juízo, mas as ameaças são interrompidas por promessas de restauração e renovação da aliança. O capítulo 3 retoma a relação conjugal como sinal de um amor que busca novamente quem foi infiel. Em Oseias 4, a metáfora dá lugar a uma acusação formal: faltam fidelidade, misericórdia e conhecimento de Deus, enquanto mentira, violência e corrupção sacerdotal se espalham. O problema da idolatria não é mera escolha religiosa inadequada, mas quebra de uma relação que deveria ordenar toda a vida de Israel.","A idolatria de Israel é infidelidade à aliança, e a promessa de restauração nasce da iniciativa persistente do Deus que foi traído.",Como a metáfora conjugal dos capítulos 1–3 prepara a acusação de Oseias 4 sobre a ausência de conhecimento e fidelidade no povo?
49,49,13/10,13/10,Oseias 5–8,"Religião, política e um coração dividido","Oseias passa a denunciar líderes, sacerdotes e estratégias políticas. Israel procura preservar-se por meio de alianças e ritos, mas sua resposta a Deus permanece superficial.","O capítulo 5 acusa sacerdotes e governantes e mostra Israel buscando ajuda da Assíria em vez de retornar ao Senhor. O conhecido chamado de Oseias 6 a voltar para Deus é seguido por uma crítica: a lealdade do povo é passageira como neblina da manhã. Por isso, Deus declara desejar misericórdia e conhecimento de Deus mais do que sacrifícios usados sem fidelidade. Nos capítulos 7 e 8, conspirações internas, alianças externas e o bezerro de Samaria revelam um povo dividido. Israel semeia vento porque tenta assegurar seu futuro por meios que contradizem sua aliança.",Ritos e estratégias políticas não substituem uma fidelidade duradoura fundada no verdadeiro conhecimento de Deus.,Como Oseias 5–8 mostra que a instabilidade política e a religiosidade superficial procedem de um mesmo problema de lealdade?
50,50,14/10,14/10,Oseias 9–12,"Memória, disciplina e amor persistente","O juízo anunciado torna-se mais severo, mas Oseias continua revisitando a história de Israel para mostrar que a crise presente faz parte de uma longa trajetória de infidelidade.","Os capítulos 9 e 10 descrevem perda, exílio e destruição de centros de culto. Em Oseias 11, porém, a história é narrada como relação entre pai e filho: Deus amou Israel desde o Egito, ensinou-o a andar e, ainda assim, foi rejeitado. A tensão entre juízo e compaixão aparece de modo intenso quando Deus afirma que não tratará Israel apenas segundo sua rebelião. O capítulo 12 retorna a Jacó e ao êxodo para confrontar engano, autossuficiência econômica e falsa segurança. A memória bíblica serve tanto à acusação quanto à esperança.","O amor de Deus não banaliza a rebelião de Israel, mas impede que o juízo seja a única palavra sobre o futuro da aliança.",Como Oseias 9–12 usa episódios da história de Israel para sustentar simultaneamente a acusação de infidelidade e a persistência do amor divino?
51,51,"out. 15, 2026",15/10,Oseias 13–14,Juízo final e convite ao retorno,"Oseias encerra o livro levando o confronto com Israel ao limite. A culpa associada à idolatria e à autossuficiência conduz ao juízo, mas a última palavra do livro volta a ser um chamado ao retorno.","O capítulo 13 relembra como Efraim se exaltou e se entregou a Baal, enquanto o próprio Senhor recorda que foi ele quem sustentou Israel desde o Egito. A prosperidade produziu esquecimento e a confiança em reis não pode salvar. A linguagem de morte e destruição mostra a gravidade do colapso. O capítulo 14, porém, começa com um imperativo: Israel deve voltar ao Senhor levando palavras de arrependimento e abandonando Assíria, cavalos e ídolos. A resposta divina é descrita em imagens de cura, amor e fertilidade. O livro termina convidando o sábio a discernir os caminhos do Senhor.","O juízo expõe a inutilidade das falsas seguranças, enquanto a restauração é apresentada como retorno ao Deus que cura a infidelidade.",Como Oseias 13–14 transforma os mesmos temas de idolatria e falsa segurança que produziram o juízo em elementos de uma verdadeira confissão de retorno?
52,52,"out. 16, 2026",16/10,Joel 1–3 e Amós 1,O Dia do Senhor e o juízo das nações,Joel interpreta uma calamidade devastadora à luz do Dia do Senhor e conduz o povo do lamento à expectativa da intervenção divina. Amós inicia seu livro ampliando a cena do juízo para povos ao redor de Israel.,"Joel 1 descreve uma praga que destrói colheitas e interrompe a vida cultual, convocando sacerdotes e povo ao lamento. No capítulo 2, o Dia do Senhor aproxima-se com linguagem de invasão, mas o chamado ao retorno permanece: Deus é gracioso e misericordioso. A restauração inclui abundância e o derramamento do Espírito sobre toda carne. Joel 3 apresenta o julgamento das nações e a segurança de Sião. Amós 1 começa com o Senhor rugindo de Sião e dirige oráculos a Damasco, Gaza, Tiro, Edom e Amom. A passagem de um livro ao outro preserva a ideia de que o juízo divino não se limita às fronteiras de Israel.","O Dia do Senhor reúne juízo, chamado ao arrependimento e promessa de restauração sob o governo de Deus sobre Israel e as nações.",Que elementos de Joel 1–3 e Amós 1 impedem que o Dia do Senhor seja reduzido a uma expectativa de punição apenas contra os inimigos de Israel?
53,53,"out. 17, 2026",17/10,Amós 2–5,O juízo chega a Israel,"Depois de denunciar os povos ao redor, Amós dirige a palavra a Judá e principalmente a Israel. O recurso retórico retira do público qualquer possibilidade de ouvir os oráculos anteriores apenas como condenação de terceiros.","Amós 2 acusa Israel de vender o justo, oprimir o pobre e profanar a vida da aliança apesar de tudo o que Deus fez por ele. O capítulo 3 usa a eleição como fundamento de responsabilidade: justamente porque Israel foi conhecido de modo singular, sua iniquidade será visitada. Amós 4 recorda sucessivas disciplinas que não produziram retorno. No capítulo 5, o profeta entoa uma lamentação como se a queda já tivesse ocorrido e chama o povo a buscar o Senhor e viver. O culto é rejeitado quando separado de justiça, e o esperado Dia do Senhor é descrito como trevas para uma comunidade infiel.","A eleição de Israel não o imuniza contra o juízo, mas torna sua responsabilidade diante da aliança ainda mais séria.",Como Amós 2–5 inverte a expectativa de privilégio associada à eleição e ao Dia do Senhor em argumento de responsabilidade e juízo?
54,54,"out. 18, 2026",18/10,Amós 6–9,"Complacência, juízo e restauração","A denúncia contra Israel chega ao auge ao confrontar a tranquilidade das elites e apresentar uma série de visões de juízo. O livro, porém, termina com uma promessa de restauração.","Amós 6 acusa os que vivem em segurança e luxo enquanto ignoram a ruína de José. No capítulo 7, visões de gafanhotos e fogo são interrompidas pela intercessão do profeta, mas o prumo mostra que o juízo não será adiado indefinidamente. O conflito com Amazias evidencia a resistência institucional à palavra profética. Em Amós 8, o cesto de frutos maduros anuncia que Israel chegou ao fim, e a exploração econômica acompanha a religiosidade. O capítulo 9 começa com juízo inevitável, mas termina com a restauração da tenda caída de Davi, abundância e renovação da terra.","A falsa segurança de Israel é desmontada pelo juízo, enquanto a esperança final depende de uma restauração que o próprio Deus promete realizar.",Como a promessa de Amós 9 deve ser lida à luz das denúncias sociais e das visões de juízo que dominam os capítulos 6–8?
55,55,"out. 19, 2026",19/10,Obadias 1,"Edom, orgulho e o Dia do Senhor","Obadias dirige sua profecia contra Edom, povo aparentado a Judá por meio de Esaú. A gravidade de sua culpa está ligada à maneira como reagiu à calamidade de Jerusalém.","Edom é acusado de orgulho por sua posição aparentemente segura e, sobretudo, de permanecer distante, alegrar-se e tirar proveito do dia da desgraça de Judá. A repetição de proibições ligadas a “não olhar”, “não alegrar-se” e “não entrar” expõe diferentes formas de participação na violência. O princípio do juízo é formulado em termos de retribuição: aquilo que Edom fez retornará sobre sua própria cabeça. A profecia então amplia o horizonte para o Dia do Senhor sobre todas as nações e termina afirmando que o reino pertencerá ao Senhor.","Deus julga não apenas a agressão direta, mas também o orgulho e a participação oportunista no sofrimento do outro.",Como Obadias transforma a conduta de Edom durante a queda de Jerusalém em exemplo de um princípio mais amplo de juízo sobre as nações?
56,56,"out. 20, 2026",20/10,Jonas 1–4,A misericórdia de Deus e a resistência do profeta,"Jonas é enviado a Nínive, capital assíria conhecida por sua violência, mas foge na direção oposta. O livro acompanha menos o destino da cidade do que o confronto entre a misericórdia de Deus e as expectativas do próprio profeta.","Nos capítulos 1 e 2, Jonas foge, é lançado ao mar e preservado por Deus. No capítulo 3, ele finalmente anuncia juízo a Nínive, e a cidade responde com arrependimento. Deus então não executa a calamidade anunciada. O capítulo 4 revela que essa misericórdia é precisamente o que Jonas temia, pois conhece o caráter gracioso e compassivo do Senhor. A planta que cresce e morre expõe a incoerência do profeta: ele lamenta a perda de algo que não criou, mas rejeita a compaixão de Deus por uma grande cidade. A pergunta final permanece aberta ao leitor.",O conhecimento correto do caráter misericordioso de Deus pode ser resistido quando sua graça alcança aqueles que preferiríamos ver julgados.,"Por que o livro de Jonas termina com uma pergunta de Deus ao profeta, e como essa escolha literária redefine o verdadeiro conflito da narrativa?"
57,57,"out. 21, 2026",21/10,Miqueias 1–4,Juízo sobre a liderança e esperança para Sião,"Miqueias profetiza em relação a Samaria e Jerusalém e denuncia especialmente aqueles que usam poder econômico, político e religioso contra os vulneráveis. O juízo sobre as cidades convive com uma visão futura de Sião.","Miqueias 1 anuncia a queda de Samaria e faz o juízo aproximar-se de Judá. No capítulo 2, proprietários cobiçam campos e casas e transformam poder econômico em instrumento de opressão. Miqueias 3 dirige-se a governantes, sacerdotes e profetas que corrompem suas funções e chegam a usar a presença do Senhor como garantia de segurança. Jerusalém, por isso, será transformada em ruínas. O capítulo 4, porém, reutiliza a visão de Sião como centro da instrução divina, paz entre as nações e reunião dos vulneráveis. A esperança não confirma as estruturas presentes, mas pressupõe sua correção.","A futura exaltação de Sião não legitima seus líderes corruptos, mas depende da justiça e do governo que Deus estabelecerá.",Como o contraste entre Miqueias 3 e 4 redefine o significado de Sião diante da falsa segurança dos líderes de Jerusalém?
58,58,"out. 22, 2026",22/10,Miqueias 5–7,O governante prometido e a misericórdia da aliança,"Depois da visão de restauração, Miqueias desenvolve a esperança de um governante vindo de Belém e retorna à acusação formal de Deus contra seu povo.","Miqueias 5 apresenta um governante cuja origem está ligada a Belém e cujo pastoreio trará segurança sob a grandeza do Senhor. A restauração inclui purificação de falsas seguranças militares e religiosas. No capítulo 6, Deus conduz uma espécie de processo de aliança, recordando sua fidelidade desde o êxodo. A resposta adequada não é multiplicação ritual, mas prática de justiça, amor à misericórdia e caminhada humilde com Deus. O capítulo 7 reconhece a corrupção social e termina com esperança: o Senhor perdoa a iniquidade e mantém a fidelidade prometida a Abraão e Jacó.","A esperança de Miqueias reúne governo justo, vida fiel à aliança e a misericórdia de Deus que permanece comprometido com suas promessas.",Como Miqueias 5–7 conecta a esperança de um novo governante à exigência de fidelidade ética e à misericórdia da aliança?
59,59,"out. 23, 2026",23/10,Naum 1–3,A queda de Nínive e a justiça de Deus,"Naum anuncia a queda de Nínive, capital da Assíria, império responsável por violência e dominação extensas. Diferente de Jonas, o livro se situa num horizonte em que a persistência da opressão é colocada sob juízo.","Naum 1 apresenta o Senhor como zeloso e justo, mas também paciente e refúgio para os que nele confiam. Essa combinação impede que o juízo seja confundido com impulsividade. Os capítulos 2 e 3 descrevem poeticamente o cerco e a ruína de Nínive, cuja violência, exploração e poder não podem preservá-la. A cidade que aterrorizou povos torna-se objeto de espanto. O livro fala a Judá como anúncio de libertação de um opressor real, mas não transforma poder militar em valor positivo por si mesmo. A Assíria cai justamente porque seu domínio violento não é definitivo.","A paciência de Deus não equivale a tolerância permanente da violência, e o poder imperial permanece sujeito à sua justiça.",Como Naum 1 fornece o enquadramento teológico necessário para interpretar as descrições violentas da queda de Nínive nos capítulos 2–3?
